nm,AMiMG,AMiMG20,AMiMG05,AMiMG50
389.5,0.371,0.106,0.038,0.089
390.0,0.359,0.099,0.038,0.093
390.5,0.349,0.074,0.041,0.094
391.0,0.345,0.061,0.048,0.093
391.5,0.345,0.072,0.055,0.09
392.0,0.345,0.072,0.059,0.086
392.5,0.344,0.063,0.06,0.084
393.0,0.342,0.077,0.062,0.086
393.5,0.34,0.089,0.066,0.089
394.0,0.339,0.082,0.069,0.089
394.5,0.338,0.078,0.064,0.083
395.0,0.333,0.071,0.051,0.077
395.5,0.325,0.063,0.036,0.075
396.0,0.317,0.069,0.029,0.077
396.5,0.309,0.078,0.029,0.078
397.0,0.301,0.077,0.03,0.074
397.5,0.297,0.065,0.03,0.067
398.0,0.296,0.058,0.028,0.064
398.5,0.299,0.058,0.028,0.065
399.0,0.3,0.059,0.027,0.068
399.5,0.297,0.068,0.026,0.071
400.0,0.286,0.084,0.025,0.075
400.5,0.273,0.082,0.024,0.077
401.0,0.263,0.063,0.025,0.077
401.5,0.258,0.062,0.028,0.074
402.0,0.253,0.083,0.029,0.072
402.5,0.245,0.094,0.032,0.072
403.0,0.235,0.084,0.035,0.074
403.5,0.229,0.065,0.038,0.074
404.0,0.228,0.056,0.039,0.072
404.5,0.227,0.06,0.037,0.068
405.0,0.223,0.071,0.034,0.064
405.5,0.218,0.077,0.032,0.06
406.0,0.213,0.069,0.03,0.055
406.5,,0.046,,
407.0,,0.029,,
407.5,,0.032,,
408.0,,0.042,,
408.5,,,,
409.0,,,,
409.5,,,,
410.0,,,,
