Illy,Mucilago,Cafeina,Ox,Mi,Ch,Go,Verde,hv
1.692810904792091e-34,1.9217382687905413e-34,7.20903703087039e-34,3.074299061001992e-34,3.989722773804991e-34,4.370380872084436e-34,4.3151743029887366e-34,4.438869041531156e-34,8.108060408163264e-19
1.638343108762331e-34,1.8308926687707046e-34,6.950759882324298e-34,2.97167583702625e-34,3.883342232803715e-34,4.2939690535415275e-34,4.23000294278599e-34,4.347669546965627e-34,8.075100813008131e-19
1.5568126592972148e-34,1.7335253634842006e-34,6.734772997809529e-34,2.8344717556190595e-34,3.7545326176979056e-34,4.184122233164416e-34,4.086738484192824e-34,4.173178812364744e-34,8.042408097165991e-19
1.4633370174974678e-34,1.6490120197189274e-34,6.504014875269661e-34,2.7403597709111e-34,3.621101431262146e-34,4.102411834065912e-34,4.006952723298942e-34,4.084222960536016e-34,8.009979032258064e-19
1.3819798348313698e-34,1.5377192482290805e-34,6.2469758129968305e-34,2.6522194121869587e-34,3.4976574382755613e-34,3.9198570526405834e-34,3.92371576121981e-34,3.953725234335909e-34,7.9778104417670675e-19
1.295511649516447e-34,1.4521066163146482e-34,5.985132537576299e-34,2.508437151446583e-34,3.399037813326619e-34,3.8274735934342784e-34,3.7788474799034117e-34,3.8207674484881624e-34,7.945899199999998e-19
1.2161236277060328e-34,1.3674909312346143e-34,5.679483105710231e-34,2.365441267750694e-34,3.2658426804550275e-34,3.6850755614590784e-34,3.64971544200658e-34,3.6701395193748905e-34,7.914242231075697e-19
1.1120161603006295e-34,1.2566160720357608e-34,5.377513614852248e-34,2.2518359205070486e-34,3.096463463561784e-34,3.5446723935192294e-34,3.4958012063621237e-34,3.5320003458401785e-34,7.882836507936507e-19
1.0716990564911497e-34,1.1796294064092575e-34,5.153689710582825e-34,2.1683348398198154e-34,2.977109048538723e-34,3.4473993427185278e-34,3.4066028428007768e-34,3.4633596231882085e-34,7.851679051383399e-19
9.948264019743251e-35,1.0779046311001257e-34,4.9259934424411335e-34,2.0567641309661236e-34,2.8790601622126775e-34,3.3250944352034305e-34,3.3171555664817914e-34,3.3013930091385847e-34,7.820766929133858e-19
9.341032766199089e-35,1.0096893924119514e-34,4.651111129116919e-34,1.9592687321057114e-34,2.7771450703679354e-34,3.2105578868046763e-34,3.196136689241472e-34,3.200982661003837e-34,7.790097254901961e-19
8.71432324310768e-35,9.561675773639602e-35,4.543833769889974e-34,1.8847847228688258e-34,2.6766572036945947e-34,3.136702422974024e-34,3.114427775138772e-34,3.0981818159538376e-34,7.7596671875e-19
8.246307575175428e-35,9.051087638980644e-35,4.3107826835146375e-34,1.8022939707984828e-34,2.5924002130061806e-34,3.0385325038018774e-34,3.0244671348690824e-34,2.975581950170472e-34,7.729473929961088e-19
7.816790699566058e-35,8.52749887795453e-35,4.142648866112266e-34,1.729574514704825e-34,2.5218689850050186e-34,2.9543633257526096e-34,2.916082911623513e-34,2.895469844362654e-34,7.699514728682171e-19
7.473360835800661e-35,8.116895325189188e-35,4.005265365741293e-34,1.6927225630772461e-34,2.44800875419926e-34,2.8915218859228997e-34,2.87922474412882e-34,2.843623818013056e-34,7.669786872586872e-19
7.087056127921808e-35,7.632724650734494e-35,3.8443371858068834e-34,1.6306162149420064e-34,2.3978320302368325e-34,2.7952370403252543e-34,2.8162266904490105e-34,2.71824733584523e-34,7.640287692307692e-19
6.821823449475527e-35,7.326003407170959e-35,3.7032609651801844e-34,1.5505576163038772e-34,2.2987709088488268e-34,2.7299443285317034e-34,2.7145776663116882e-34,2.6465889718196577e-34,7.611014559386972e-19
6.548664590559206e-35,7.215499471510094e-35,3.609632871700309e-34,1.5330124979032741e-34,2.289102363838287e-34,2.6904369041481856e-34,2.69671251014448e-34,2.6105740029953964e-34,7.581964885496184e-19
6.520797405625884e-35,6.849859301243125e-35,3.5213416393552406e-34,1.505140744221283e-34,2.229924713070244e-34,2.6428903121052195e-34,2.6449118313287957e-34,2.5577605834340135e-34,7.553136121673003e-19
6.434163876517375e-35,6.641558302396917e-35,3.4278128378303455e-34,1.480066348841366e-34,2.1773751882028726e-34,2.5803351963448717e-34,2.6097980915932846e-34,2.504584174640405e-34,7.524525757575757e-19
